# File: Subject04Fixations.txt
# Created: Thursday, March 23, 2017,2:50:16 PM
# with: OGAMA Version: 5.0.5614
# Contents: GazeFixations table.
# Applies to Projekt:capstone experiments
#
ID	SubjectName	TrialID	TrialSequence	CountInTrial	StartTime	Length	PosX	PosY	Trial Name	Trial Category	SlideNr	AOI	AOI group	
12635	Ray	0	0	53	26711	233	750.415771484375	335.208984375	Slide0		0	nowhere	nowhere	
12636	Ray	0	0	54	27012	166	685.197692871094	564.598937988281	Slide0		0	nowhere	nowhere	
12637	Ray	0	0	55	27212	366	613.040100097656	566.2626953125	Slide0		0	nowhere	nowhere	
12638	Ray	0	0	56	27644	267	715.773498535156	566.41650390625	Slide0		0	nowhere	nowhere	
12639	Ray	0	0	57	27978	198	794.918762207031	524.410522460938	Slide0		0	nowhere	nowhere	
12640	Ray	0	0	58	28877	499	728.441650390625	551.623107910156	Slide0		0	nowhere	nowhere	
12641	Ray	0	0	59	29410	233	783.448974609375	498.823852539063	Slide0		0	nowhere	nowhere	
12642	Ray	0	0	60	29709	401	812.940734863281	486.539855957031	Slide0		0	nowhere	nowhere	
12643	Ray	0	0	61	30208	468	937.630676269531	474.425659179688	Slide0		0	nowhere	nowhere	
12644	Ray	0	0	62	30709	266	1013.15539550781	465.056976318359	Slide0		0	nowhere	nowhere	
12645	Ray	0	0	63	31941	167	1132.61804199219	460.571258544922	Slide0		0	nowhere	nowhere	
12646	Ray	0	0	64	32141	333	1020.31658935547	458.2548828125	Slide0		0	nowhere	nowhere	
12647	Ray	0	0	65	32507	267	1142.33740234375	458.836334228516	Slide0		0	nowhere	nowhere	
12648	Ray	0	0	66	33906	2465	1215.6982421875	456.869415283203	Slide0		0	nowhere	nowhere	
12649	Ray	0	0	67	36404	299	966.9150390625	610.480407714844	Slide0		0	nowhere	nowhere	
12650	Ray	0	0	68	37470	167	1314.3662109375	438.988189697266	Slide0		0	nowhere	nowhere	
12651	Ray	0	0	69	37837	399	605.786254882813	708.635986328125	Slide0		0	nowhere	nowhere	
12652	Ray	0	0	70	38270	166	694.302429199219	715.814697265625	Slide0		0	nowhere	nowhere	
12653	Ray	0	0	71	38503	265	628.668518066406	706.763366699219	Slide0		0	nowhere	nowhere	
12654	Ray	0	0	72	39135	134	736.278930664063	713.431701660156	Slide0		0	nowhere	nowhere	
12655	Ray	0	0	73	39702	200	777.393493652344	661.584899902344	Slide0		0	nowhere	nowhere	
12656	Ray	0	0	74	40135	133	790.223449707031	681.025207519531	Slide0		0	nowhere	nowhere	
12657	Ray	0	0	75	40367	168	837.544372558594	710.898132324219	Slide0		0	nowhere	nowhere	
12658	Ray	0	0	76	40800	268	917.720275878906	749.994995117188	Slide0		0	nowhere	nowhere	
12659	Ray	0	0	77	41200	167	997.137451171875	746.63427734375	Slide0		0	nowhere	nowhere	
12660	Ray	0	0	78	42834	300	959.921203613281	714.948791503906	Slide0		0	nowhere	nowhere	
12661	Ray	0	0	79	43166	200	1084.79711914063	780.26171875	Slide0		0	nowhere	nowhere	
12662	Ray	0	0	80	43466	133	1141.88842773438	789.250305175781	Slide0		0	nowhere	nowhere	
12663	Ray	0	0	81	43631	334	1071.59362792969	780.222778320313	Slide0		0	nowhere	nowhere	
12664	Ray	0	0	82	44831	232	1230.01904296875	777.152404785156	Slide0		0	nowhere	nowhere	
12665	Ray	0	0	83	45131	233	1300.61669921875	776.028259277344	Slide0		0	nowhere	nowhere	
12666	Ray	0	0	84	45431	399	1263.81787109375	772.171447753906	Slide0		0	nowhere	nowhere	
12667	Ray	0	0	85	45964	233	1293.69482421875	780.240295410156	Slide0		0	nowhere	nowhere	
